TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q024,Q025
2,4744.0,5626.0,5048.0,4464.0,340.0,B,B
2,4207.0,5885.0,5797.0,5642.0,540.0,B,B
2,4395.0,6427.0,6218.0,5022.0,640.0,B,B
2,3979.0,4659.0,5037.0,4606.0,540.0,B,B
2,5198.0,4979.0,5638.0,4938.0,680.0,C,B
4,6452.0,6619.0,6443.0,6441.0,780.0,D,B
2,5848.0,6526.0,5898.0,5369.0,580.0,B,B
2,4113.0,6527.0,5981.0,5607.0,640.0,A,B
2,5161.0,6652.0,6364.0,5184.0,640.0,B,B
2,4104.0,586.0,5328.0,5603.0,340.0,B,B
2,4743.0,5761.0,5138.0,4115.0,360.0,B,B
2,443.0,5465.0,4769.0,4756.0,320.0,A,B
4,6603.0,6734.0,6559.0,7288.0,640.0,D,B
4,4198.0,5241.0,4454.0,4488.0,600.0,A,A
2,5219.0,513.0,4671.0,4342.0,560.0,D,B
2,4108.0,5458.0,4883.0,4122.0,480.0,B,B
2,370.0,5709.0,5123.0,4002.0,520.0,B,B
2,5769.0,6651.0,6504.0,7554.0,720.0,B,B
2,4271.0,4618.0,4779.0,4127.0,340.0,A,A
2,4061.0,534.0,4949.0,5659.0,540.0,A,B
2,4257.0,4734.0,5028.0,4462.0,0.0,B,B
2,4217.0,4875.0,469.0,4904.0,580.0,B,A
2,4951.0,5749.0,5101.0,4199.0,680.0,B,B
2,5542.0,6063.0,5549.0,6255.0,760.0,D,B
2,5057.0,4738.0,4297.0,5253.0,300.0,B,B
2,4432.0,6162.0,5224.0,5272.0,620.0,C,B
2,4527.0,5927.0,4629.0,4726.0,560.0,C,B
2,5699.0,6478.0,5209.0,5315.0,840.0,B,B
4,4506.0,3965.0,4176.0,6372.0,400.0,B,B
4,5519.0,6347.0,5801.0,7219.0,600.0,B,B
4,6275.0,6297.0,5951.0,668.0,540.0,A,B
2,5263.0,571.0,4787.0,3899.0,440.0,B,B
2,4186.0,4204.0,4416.0,4067.0,560.0,A,B
2,4694.0,5666.0,5744.0,4455.0,820.0,B,B
4,4353.0,6334.0,5703.0,5333.0,440.0,B,B
1,4476.0,6008.0,5781.0,5082.0,680.0,B,B
4,5544.0,7104.0,6161.0,6664.0,640.0,C,B
2,502.0,5509.0,5674.0,456.0,400.0,B,B
2,4546.0,5385.0,4921.0,4782.0,400.0,B,B
2,5141.0,6349.0,6144.0,5065.0,640.0,B,B
