TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q024,Q025
2,474.4,562.6,504.8,446.4,340.0,B,B
2,420.7,588.5,579.7,564.2,540.0,B,B
2,439.5,642.7,621.8,502.2,640.0,B,B
2,397.9,465.9,503.7,460.6,540.0,B,B
2,519.8,497.9,563.8,493.8,680.0,C,B
4,645.2,661.9,644.3,644.1,780.0,D,B
2,584.8,652.6,589.8,536.9,580.0,B,B
2,411.3,652.7,598.1,560.7,640.0,A,B
2,516.1,665.2,636.4,518.4,640.0,B,B
2,410.4,586.0,532.8,560.3,340.0,B,B
2,474.3,576.1,513.8,411.5,360.0,B,B
2,443.0,546.5,476.9,475.6,320.0,A,B
4,660.3,673.4,655.9,728.8,640.0,D,B
4,419.8,524.1,445.4,448.8,600.0,A,A
2,521.9,513.0,467.1,434.2,560.0,D,B
2,410.8,545.8,488.3,412.2,480.0,B,B
2,370.0,570.9,512.3,400.2,520.0,B,B
2,576.9,665.1,650.4,755.4,720.0,B,B
2,427.1,461.8,477.9,412.7,340.0,A,A
2,406.1,534.0,494.9,565.9,540.0,A,B
2,425.7,473.4,502.8,446.2,0.0,B,B
2,421.7,487.5,469.0,490.4,580.0,B,A
2,495.1,574.9,510.1,419.9,680.0,B,B
2,554.2,606.3,554.9,625.5,760.0,D,B
2,505.7,473.8,429.7,525.3,300.0,B,B
2,443.2,616.2,522.4,527.2,620.0,C,B
2,452.7,592.7,462.9,472.6,560.0,C,B
2,569.9,647.8,520.9,531.5,840.0,B,B
4,450.6,396.5,417.6,637.2,400.0,B,B
4,551.9,634.7,580.1,721.9,600.0,B,B
4,627.5,629.7,595.1,668.0,540.0,A,B
2,526.3,571.0,478.7,389.9,440.0,B,B
2,418.6,420.4,441.6,406.7,560.0,A,B
2,469.4,566.6,574.4,445.5,820.0,B,B
4,435.3,633.4,570.3,533.3,440.0,B,B
1,447.6,600.8,578.1,508.2,680.0,B,B
4,554.4,710.4,616.1,666.4,640.0,C,B
2,502.0,550.9,567.4,456.0,400.0,B,B
2,454.6,538.5,492.1,478.2,400.0,B,B
2,514.1,634.9,614.4,506.5,640.0,B,B
2,412.6,442.5,481.6,549.9,560.0,B,B
2,523.3,642.3,593.7,417.0,360.0,B,B
2,493.5,412.6,483.3,527.2,480.0,B,B
4,672.9,670.7,680.9,710.6,860.0,E,B
2,518.0,619.9,493.4,471.3,360.0,A,B
2,515.7,653.9,581.1,579.5,780.0,B,B
2,480.2,523.3,486.1,578.9,540.0,A,B
2,473.1,487.4,486.0,391.9,260.0,A,B
2,493.0,546.0,532.2,535.4,260.0,A,A
2,479.4,621.5,575.5,553.2,600.0,B,B
2,368.6,472.5,400.7,395.3,360.0,A,B
2,461.0,427.1,491.4,444.5,540.0,A,B
4,565.4,687.7,704.9,742.8,640.0,C,B
2,475.5,574.3,519.7,439.4,600.0,C,B
4,542.5,561.8,510.3,659.8,580.0,B,B
2,511.2,604.0,584.1,486.2,520.0,A,A
2,466.0,582.6,498.4,482.5,700.0,B,B
4,615.1,631.5,589.1,687.9,660.0,B,B
2,465.3,592.2,443.0,513.4,720.0,A,B
2,426.8,653.0,529.2,589.0,680.0,B,B
2,551.7,602.1,554.5,538.4,580.0,A,A
2,539.5,581.9,408.4,529.0,600.0,A,A
2,415.9,463.5,478.1,473.2,380.0,A,B
2,399.3,637.1,492.2,572.4,580.0,A,A
2,454.6,552.1,478.1,401.5,540.0,B,B
1,492.2,663.7,610.4,527.7,600.0,A,B
2,538.6,633.9,594.4,426.5,580.0,C,B
2,556.9,654.5,545.1,685.6,920.0,A,A
2,569.8,643.5,565.6,575.5,820.0,B,B
2,504.1,541.3,521.9,531.4,620.0,A,B
2,597.4,635.3,591.6,602.9,840.0,A,A
2,383.2,568.5,538.3,438.8,440.0,B,B
2,391.1,476.4,480.4,383.5,280.0,B,B
